date,Sensor,Percentage,mortality
12:00,Soil Moisture,47.3,2518
1:00,Soil Moisture,49.1,2473.1
2:00,Soil Moisture,51.5,2301.3
3:00,Soil Moisture,50.5,2379
4:00,Soil Moisture,47.6,2502.5
5:00,Soil Moisture,48.7,2423.7
6:00,Soil Moisture,48.7,2399
7:00,Soil Moisture,47.6,2494.4
8:00,Soil Moisture,51.1,2298.9
9:00,Soil Moisture,52.1,2249.2
10:00,Soil Moisture,50,2317.2
11:00,Soil Moisture,52.6,2245.4
12:00,Soil Moisture,53.5,2211.7
13:00,Soil Moisture,52.5,2206.5
14:00,Soil Moisture,54.2,2149.3
15:00,Soil Moisture,54.5,2174.8
16:00,Soil Moisture,51.7,2266.6
17:00,Soil Moisture,50.9,2275.9
18:00,Soil Moisture,39.1,2541.6
19:00,Soil Moisture,54.7,2057.2
20:00,Soil Moisture,54.1,2147.1
21:00,Soil Moisture,60.8,1958.2
22:00,Soil Moisture,59.6,2049.5
23:00,Soil Moisture,57.2,2141.4
0:00,Soil Moisture,59.7,2038
1:00,Soil Moisture,59,2068.7
2:00,Soil Moisture,56.7,2146.2
3:00,Soil Moisture,60.4,1989.5
4:00,Soil Moisture,56.8,2124.6
5:00,Soil temperature,57.1,2081.2
6:00,Soil Moisture,59.7,1943.8
7:00,Soil Moisture,61.1,1895.1
8:00,Soil Moisture,62.1,1897.1
9:00,Soil temperature,63.3,1850.1
10:00,Soil temperature,61.1,1888.2
11:00,Soil temperature,61.7,1860.1
12:00,Soil temperature,58.5,1963.7
13:00,Soil temperature,60,1882.6
14:00,Soil temperature,63.5,1764.3
15:00,Soil temperature,63.7,1766.9
16:00,Soil temperature,62.9,1785
17:00,Soil temperature,64.8,1694.6
18:00,Soil temperature,66.2,1635.8
19:00,Soil temperature,63.3,1702.4
20:00,Soil temperature,65.2,1618.5
21:00,Soil temperature,65.9,1575.4
22:00,Soil Moisture,66.7,1529.7
23:00,Soil Moisture,66.8,1532
0:00,Soil Moisture,67.2,1501.7
1:00,Soil temperature,68,1457.3
2:00,Soil Moisture,68.2,1446
3:00,Soil Moisture,68.4,1423.5
4:00,Soil Moisture,68.6,1394.6
5:00,Soil Moisture,68.8,1385.6
6:00,Soil Moisture,69.6,1314.8
7:00,Soil temperature,69.6,1332.3
8:00,Soil temperature,69.7,1333.7
9:00,Soil temperature,69.5,1356.7
10:00,Soil Moisture,69.6,1343.4
11:00,Soil temperature,69.9,1317.3
12:00,Soil temperature,69.7,1339.2
13:00,Soil temperature,70.2,1298.8
14:00,Soil temperature,70.1,1323.6
